"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2017","    18242.30","    18249.00","    17844.90","    17969.60","       74444730","         1857.24"
"03-Jan-2017","    18002.75","    18115.05","    17830.95","    18035.60","       64513818","         1769.30"
"04-Jan-2017","    18037.45","    18092.85","    17868.90","    17891.00","       50508161","         1615.85"
"05-Jan-2017","    18000.75","    18164.05","    17977.80","    18115.95","       68874940","         2271.18"
"06-Jan-2017","    18168.45","    18325.50","    18157.30","    18264.00","       65919927","         2174.59"
"09-Jan-2017","    18314.25","    18373.10","    18256.15","    18286.65","       42677260","         1404.38"
"10-Jan-2017","    18351.45","    18441.15","    18275.75","    18409.60","       59993426","         2012.18"
"11-Jan-2017","    18535.35","    18889.45","    18515.25","    18830.00","      102842482","         3493.47"
"12-Jan-2017","    18885.45","    18966.30","    18805.85","    18873.95","       66286062","         1982.54"
"13-Jan-2017","    18949.70","    18952.25","    18781.25","    18912.10","       55762182","         1855.30"
"16-Jan-2017","    18899.70","    19134.50","    18865.25","    19096.45","       59319825","         1740.77"
"17-Jan-2017","    19128.15","    19202.25","    18981.85","    19067.05","       63686033","         1862.62"
"18-Jan-2017","    19074.85","    19276.50","    19072.10","    19164.50","       56898977","         1871.38"
"19-Jan-2017","    19165.35","    19185.30","    19046.10","    19124.25","       83679399","         2409.78"
"20-Jan-2017","    18996.60","    19071.65","    18793.05","    18820.80","      110140976","         3855.90"
"23-Jan-2017","    18762.00","    18909.65","    18722.85","    18842.70","       97144867","         3232.45"
"24-Jan-2017","    18931.00","    19054.30","    18906.95","    19023.50","       81717037","         3118.62"
"25-Jan-2017","    19120.05","    19518.45","    19114.15","    19473.20","      131028002","         4672.67"
"27-Jan-2017","    19588.40","    19794.95","    19534.90","    19708.30","      157251635","         4654.79"
"30-Jan-2017","    19718.80","    19767.05","    19561.10","    19585.25","       71178678","         2113.37"
"31-Jan-2017","    19533.20","    19624.10","    19435.45","    19515.15","       67343878","         2331.66"
"01-Feb-2017","    19522.40","    20047.85","    19470.95","    20020.60","      145906975","         4549.85"
"02-Feb-2017","    20053.95","    20146.90","    19915.20","    20070.30","      116963782","         3279.64"
"03-Feb-2017","    20061.90","    20229.65","    20009.95","    20196.80","      113714035","         3092.66"
"06-Feb-2017","    20307.15","    20462.45","    20298.05","    20371.60","       99281709","         2853.85"
"07-Feb-2017","    20367.30","    20426.95","    20281.50","    20327.25","      109432014","         2835.60"
"08-Feb-2017","    20335.25","    20362.80","    20070.15","    20245.40","       85902788","         2626.17"
"09-Feb-2017","    20312.65","    20406.60","    20000.35","    20151.15","      107559620","         2763.25"
"10-Feb-2017","    20225.75","    20310.00","    20167.10","    20213.90","      117595817","         3354.08"
"13-Feb-2017","    20273.65","    20308.70","    20116.90","    20251.80","      108967330","         3171.01"
"14-Feb-2017","    20304.50","    20314.05","    20158.85","    20258.10","       69832338","         2184.70"
"15-Feb-2017","    20282.10","    20368.20","    20115.85","    20163.70","       74195087","         2264.21"
"16-Feb-2017","    20243.25","    20295.55","    20088.20","    20243.70","       81485552","         2495.90"
"17-Feb-2017","    20918.45","    21042.35","    20449.65","    20551.35","      197061810","        17389.12"
"20-Feb-2017","    20494.85","    20702.60","    20472.40","    20677.10","       66182208","         1900.02"
"21-Feb-2017","    20695.90","    20903.35","    20619.25","    20860.95","       74587721","         2472.87"
"22-Feb-2017","    20937.60","    20958.25","    20829.65","    20868.45","       92261695","         3234.58"
"23-Feb-2017","    20887.65","    21011.90","    20828.40","    20876.65","       95406666","         4117.00"
"27-Feb-2017","    20853.45","    20853.45","    20584.75","    20613.05","       60499704","         2147.48"
"28-Feb-2017","    20632.85","    20681.30","    20560.60","    20607.25","       76658515","         1994.39"
"01-Mar-2017","    20698.90","    20833.75","    20678.75","    20783.75","       75542256","         2221.57"
"02-Mar-2017","    20885.00","    20905.00","    20516.90","    20560.05","       81044163","         2531.48"
"03-Mar-2017","    20572.85","    20580.45","    20423.35","    20495.60","       53179917","         1530.14"
"06-Mar-2017","    20548.95","    20727.50","    20532.20","    20663.65","       56093806","         1770.09"
"07-Mar-2017","    20685.95","    20701.25","    20585.95","    20627.50","       47804156","         1672.58"
"08-Mar-2017","    20630.15","    20715.20","    20534.25","    20676.55","       63112788","         2417.86"
"09-Mar-2017","    20620.55","    20780.25","    20603.90","    20721.35","       59782379","         2026.91"
"10-Mar-2017","    20825.90","    20876.95","    20648.80","    20727.55","       53537238","         1964.77"
"14-Mar-2017","    21189.85","    21274.45","    21059.70","    21102.70","       98698328","         3498.01"
"15-Mar-2017","    21089.40","    21216.90","    21063.95","    21157.90","       75243419","         2391.61"
